short_window,long_window,trade_count,holding_ratio,total_return,annual_return,annual_volatility,sharpe_ratio,max_drawdown,calmar_ratio
5,60,105.0,0.498046875,0.792945651044253,0.04190695840101655,0.15001790664103987,0.2793463749716943,-0.33024100437791726,0.12689810727761583
5,180,49.0,0.47488452655889146,0.6536281670307817,0.03726799056175123,0.15324951767886488,0.24318504309975375,-0.34511924168848973,0.10798583811038252
30,180,19.0,0.4783487297921478,0.6286835038468546,0.03612166037724207,0.1507702875435522,0.2395807620039711,-0.33191797580076376,0.10882706876630377
10,30,135.0,0.5027670171555063,0.6182438206751275,0.03413298575845425,0.14942430101399995,0.22842995099743676,-0.3607711943983962,0.09461117264468048
5,30,169.0,0.496956281128943,0.5958796337065431,0.0331299748617222,0.1492146593136659,0.2220289548902785,-0.3117880118539059,0.1062580137854879
10,180,33.0,0.47575057736720555,0.5296923696167992,0.03140594074026892,0.15208662083363372,0.20650035202388786,-0.3478685490941986,0.09028105823894006
10,60,76.0,0.4896763392857143,0.439526151866124,0.02594673274741144,0.14976210630734582,0.17325299027353994,-0.35838223348838616,0.07239960668488962
5,120,69.0,0.48240635641316687,0.41086727751564966,0.024919374261940908,0.1477170523192578,0.16869666616473758,-0.336691608593894,0.07401246014419625
20,180,21.0,0.47863741339491916,0.40075969179879545,0.024820256401929308,0.15120149230150812,0.1641535147843362,-0.37737067030969584,0.06577155660125926
30,250,25.0,0.4543311726576311,0.38432985319538027,0.024440765265911324,0.1545076669511423,0.15818480563582563,-0.43484633484074964,0.05620552206071157
60,250,15.0,0.44519740718915735,0.3669260523758697,0.02347888615402982,0.1561584441971456,0.15035297178286686,-0.43484633484074975,0.05399352431618931
30,120,33.0,0.49716231555051077,0.3492924288847803,0.021654001288769376,0.1550399908588599,0.13966719920979626,-0.40453533223229654,0.05352808410894252
20,250,25.0,0.45344725987035944,0.3177716060530955,0.020699664260270145,0.15564661621492978,0.13299141840440867,-0.43484633484074986,0.04760225073036619
20,120,41.0,0.49120317820658344,0.306262897607843,0.01928892811569871,0.15319168163471153,0.12591367827460453,-0.3775758822231384,0.0510862293484609
30,60,68.0,0.49441964285714285,0.3086736407829733,0.019095079399146897,0.15304104221218523,0.12477097073523807,-0.4081432274393413,0.04678524134517172
10,120,53.0,0.48723041997729855,0.1945276350243994,0.012792025629704051,0.15035274165904822,0.08508009557093586,-0.41754046657912014,0.030636612864157153
20,30,133.0,0.5154952960708357,0.19421357611198697,0.012452922038758585,0.15346074403228496,0.08114728048065992,-0.36497923813796174,0.03411953540779598
5,250,39.0,0.4640542133176193,0.09427968178905255,0.006711957347675712,0.15442176507755653,0.04346509926437319,-0.4702878188870332,0.014272020405631592
20,60,74.0,0.490234375,0.05698556137125932,0.003904394719237203,0.14942324519230538,0.026129767923406485,-0.4269797588251659,0.009144215009114574
10,250,33.0,0.4602239245727755,0.027784686635460742,0.00203690829867198,0.15469549347008957,0.013167211616709551,-0.43484633484074975,0.004684202522755402
60,180,21.0,0.48729792147806006,-0.036033466234130285,-0.002666206272440519,0.15691720741015724,-0.01699116570097675,-0.4348463348407491,-0.006131375750049604
60,120,29.0,0.489216799091941,-0.1775331664980203,-0.013879139048958211,0.15739224225763881,-0.08818184968887567,-0.5325188087688999,-0.026063190295652856
